idEleccion,Region_o_Nivel,idAgrupacionPolitica,AgrupacionPolitica,TotalVotos	
10,15,82,VOTOS IMPUGNADOS,0	
10,15,9,FUERZA Y LIBERTAD,814	
10,16,1,ALIANZA PARA EL PROGRESO,1086	
10,16,10,JUNTOS POR EL PERÚ,16653	
10,16,11,LIBERTAD POPULAR,119	
10,16,12,PARTIDO APRISTA PERUANO,523	
10,16,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,16,14,PARTIDO CÍVICO OBRAS,10874	
10,16,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,54	
10,16,16,PARTIDO DEL BUEN GOBIERNO,3996	
10,16,17,PARTIDO DEMÓCRATA UNIDO PERÚ,839	
10,16,18,PARTIDO DEMÓCRATA VERDE,362	
10,16,19,PARTIDO DEMOCRATICO FEDERAL,121	
10,16,2,AHORA NACIÓN - AN,6066	
10,16,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,707	
10,16,21,PARTIDO FRENTE DE LA ESPERANZA 2021,2410	
10,16,22,PARTIDO MORADO,210	
10,16,23,PARTIDO PAÍS PARA TODOS,4799	
10,16,24,PARTIDO PATRIÓTICO DEL PERÚ,993	
10,16,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1625	
10,16,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,173	
10,16,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,887	
10,16,28,PARTIDO POLÍTICO PERÚ ACCIÓN,177	
10,16,29,PARTIDO POLÍTICO PERÚ PRIMERO,735	
10,16,3,ALIANZA ELECTORAL VENCEREMOS,701	
10,16,30,PARTIDO POLÍTICO PRIN,40	
10,16,31,PARTIDO SICREO,2476	
10,16,32,PODEMOS PERÚ,1281	
10,16,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,1714	
10,16,34,PROGRESEMOS,653	
10,16,35,RENOVACIÓN POPULAR,2591	
10,16,36,SALVEMOS AL PERÚ,95	
10,16,37,UN CAMINO DIFERENTE,161	
10,16,38,UNIDAD NACIONAL,298	
10,16,4,PERÚ MODERNO,79	
10,16,5,FE EN EL PERÚ,84	
10,16,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,16,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,324	
10,16,8,FUERZA POPULAR,10074	
10,16,80,VOTOS EN BLANCO,16520	
10,16,81,VOTOS NULOS,4687	
10,16,82,VOTOS IMPUGNADOS,0	
10,16,9,FUERZA Y LIBERTAD,125	
10,17,1,ALIANZA PARA EL PROGRESO,599	
10,17,10,JUNTOS POR EL PERÚ,13875	
10,17,11,LIBERTAD POPULAR,175	
10,17,12,PARTIDO APRISTA PERUANO,582	
10,17,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,17,14,PARTIDO CÍVICO OBRAS,13620	
10,17,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,92	
10,17,16,PARTIDO DEL BUEN GOBIERNO,11797	
10,17,17,PARTIDO DEMÓCRATA UNIDO PERÚ,1294	
10,17,18,PARTIDO DEMÓCRATA VERDE,403	
10,17,19,PARTIDO DEMOCRATICO FEDERAL,201	
10,17,2,AHORA NACIÓN - AN,11830	
10,17,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,720	
10,17,21,PARTIDO FRENTE DE LA ESPERANZA 2021,4819	
10,17,22,PARTIDO MORADO,593	
10,17,23,PARTIDO PAÍS PARA TODOS,6104	
10,17,24,PARTIDO PATRIÓTICO DEL PERÚ,1072	
10,17,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,5159	
10,17,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,310	
10,17,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,941	
10,17,28,PARTIDO POLÍTICO PERÚ ACCIÓN,210	
10,17,29,PARTIDO POLÍTICO PERÚ PRIMERO,6972	
10,17,3,ALIANZA ELECTORAL VENCEREMOS,1534	
10,17,30,PARTIDO POLÍTICO PRIN,134	
10,17,31,PARTIDO SICREO,4809	
10,17,32,PODEMOS PERÚ,1811	
10,17,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,5762	
10,17,34,PROGRESEMOS,979	
10,17,35,RENOVACIÓN POPULAR,6553	
10,17,36,SALVEMOS AL PERÚ,110	
10,17,37,UN CAMINO DIFERENTE,334	
10,17,38,UNIDAD NACIONAL,389	
10,17,4,PERÚ MODERNO,116	
10,17,5,FE EN EL PERÚ,101	
10,17,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,17,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,125	
10,17,8,FUERZA POPULAR,7474	
10,17,80,VOTOS EN BLANCO,11653	
10,17,81,VOTOS NULOS,5103	
10,17,82,VOTOS IMPUGNADOS,0	
10,17,9,FUERZA Y LIBERTAD,165	
10,18,1,ALIANZA PARA EL PROGRESO,1539	
10,18,10,JUNTOS POR EL PERÚ,20246	
10,18,11,LIBERTAD POPULAR,217	
10,18,12,PARTIDO APRISTA PERUANO,470	
10,18,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,18,14,PARTIDO CÍVICO OBRAS,13471	
10,18,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,102	
10,18,16,PARTIDO DEL BUEN GOBIERNO,5117	
10,18,17,PARTIDO DEMÓCRATA UNIDO PERÚ,866	
10,18,18,PARTIDO DEMÓCRATA VERDE,565	
10,18,19,PARTIDO DEMOCRATICO FEDERAL,172	
10,18,2,AHORA NACIÓN - AN,10078	
10,18,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,1793	
10,18,21,PARTIDO FRENTE DE LA ESPERANZA 2021,4832	
10,18,22,PARTIDO MORADO,490	
10,18,23,PARTIDO PAÍS PARA TODOS,4649	
10,18,24,PARTIDO PATRIÓTICO DEL PERÚ,1346	
10,18,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,2249	
10,18,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,356	
10,18,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,946	
10,18,28,PARTIDO POLÍTICO PERÚ ACCIÓN,274	
10,18,29,PARTIDO POLÍTICO PERÚ PRIMERO,1056	
10,18,3,ALIANZA ELECTORAL VENCEREMOS,621	
10,18,30,PARTIDO POLÍTICO PRIN,87	
10,18,31,PARTIDO SICREO,3175	
10,18,32,PODEMOS PERÚ,5039	
10,18,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,2065	
10,18,34,PROGRESEMOS,291	
10,18,35,RENOVACIÓN POPULAR,7521	
10,18,36,SALVEMOS AL PERÚ,103	
10,18,37,UN CAMINO DIFERENTE,215	
10,18,38,UNIDAD NACIONAL,177	
10,18,4,PERÚ MODERNO,38	
10,18,5,FE EN EL PERÚ,179	
10,18,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,18,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,114	
10,18,8,FUERZA POPULAR,20752	
10,18,80,VOTOS EN BLANCO,20748	
10,18,81,VOTOS NULOS,7622	
10,18,82,VOTOS IMPUGNADOS,0	
10,18,9,FUERZA Y LIBERTAD,191	
10,19,1,ALIANZA PARA EL PROGRESO,14568	
10,19,10,JUNTOS POR EL PERÚ,82281	
10,19,11,LIBERTAD POPULAR,1714	
10,19,12,PARTIDO APRISTA PERUANO,10706	
10,19,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,19,14,PARTIDO CÍVICO OBRAS,60560	
10,19,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,521	
10,19,16,PARTIDO DEL BUEN GOBIERNO,74696	
10,19,17,PARTIDO DEMÓCRATA UNIDO PERÚ,3844	
10,19,18,PARTIDO DEMÓCRATA VERDE,2954	
10,19,19,PARTIDO DEMOCRATICO FEDERAL,1216	
10,19,2,AHORA NACIÓN - AN,39072	
10,19,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,6199	
10,19,21,PARTIDO FRENTE DE LA ESPERANZA 2021,10472	
10,19,22,PARTIDO MORADO,2517	
10,19,23,PARTIDO PAÍS PARA TODOS,89808	
10,19,24,PARTIDO PATRIÓTICO DEL PERÚ,8930	
10,19,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,4399	
10,19,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,3644	
10,19,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,3725	
10,19,28,PARTIDO POLÍTICO PERÚ ACCIÓN,1739	
10,19,29,PARTIDO POLÍTICO PERÚ PRIMERO,15373	
10,19,3,ALIANZA ELECTORAL VENCEREMOS,6346	
10,19,30,PARTIDO POLÍTICO PRIN,842	
10,19,31,PARTIDO SICREO,23302	
10,19,32,PODEMOS PERÚ,17679	
10,19,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,28335	
10,19,34,PROGRESEMOS,3112	
10,19,35,RENOVACIÓN POPULAR,57153	
10,19,36,SALVEMOS AL PERÚ,1117	
10,19,37,UN CAMINO DIFERENTE,4242	
10,19,38,UNIDAD NACIONAL,2557	
10,19,4,PERÚ MODERNO,345	
10,19,5,FE EN EL PERÚ,952	
10,19,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,19,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,1193	
10,19,8,FUERZA POPULAR,227126	
10,19,80,VOTOS EN BLANCO,163445	
10,19,81,VOTOS NULOS,75816	
10,19,82,VOTOS IMPUGNADOS,0	
10,19,9,FUERZA Y LIBERTAD,1315	
10,2,1,ALIANZA PARA EL PROGRESO,8883	
10,2,10,JUNTOS POR EL PERÚ,64022	
10,2,11,LIBERTAD POPULAR,1476	
10,2,12,PARTIDO APRISTA PERUANO,6141	
10,2,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,2,14,PARTIDO CÍVICO OBRAS,49761	
10,2,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,345	
10,2,16,PARTIDO DEL BUEN GOBIERNO,39073	
