id,idMesa,codigoMesa,idEleccion,idUbigeo,centroPoblado,nombreLocalVotacion,codigoLocalVotacion,totalElectoresHabiles,totalVotosEmitidos,totalVotosValidos,totalAsistentes,porcentajeParticipacionCiudadana,estadoActa,estadoComputo,codigoEstadoActa,descripcionEstadoActa,adAgrupacionPolitica,adDescripcion,adVotos,adPorcentajeVotosEmitidos
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,17,PARTIDO DEMÓCRATA UNIDO PERÚ,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,8,FUERZA POPULAR,2,2.857
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,2,AHORA NACIÓN - AN,5,7.143
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,23,PARTIDO PAÍS PARA TODOS,2,2.857
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,36,SALVEMOS AL PERÚ,,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,11,LIBERTAD POPULAR,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,14,PARTIDO CÍVICO OBRAS,1,1.429
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,81,VOTOS NULOS,4,5.714
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,80,VOTOS EN BLANCO,3,4.286
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,82,VOTOS IMPUGNADOS,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,10,JUNTOS POR EL PERÚ,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,36,SALVEMOS AL PERÚ,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,13,PARTIDO CIUDADANOS POR EL PERÚ,,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,11,LIBERTAD POPULAR,1,1.429
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,1,1.429
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,5,FE EN EL PERÚ,,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,35,RENOVACIÓN POPULAR,20,28.571
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,31,PARTIDO SICREO,3,4.286
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,16,PARTIDO DEL BUEN GOBIERNO,11,15.714
